Manchester Magic,11,2,0,0.846,1140,808,332,35
Doncaster Danum Eagles,10,4,0,0.714,1238,1079,159,34
Derby Trailblazers,10,2,0,0.833,1019,798,221,32
Killamarsh Derbyshire Arrows,8,7,0,0.533,1180,1145,35,31
Cheshire Wire,8,6,0,0.571,1004,1020,-16,30
Team Birmingham,9,2,0,0.818,972,639,333,29
Sheffield Junior Sharks,8,4,0,0.667,943,911,32,28
Sporting Club Albion (West Bromwich),6,8,0,0.429,908,1064,-156,26
Northamptonshire Titans,6,8,0,0.429,913,1037,-124,25
Newcastle Eagles,4,11,0,0.267,1053,1126,-73,23
Trafford,0,14,0,0,830,1230,-400,14
Leicester Warriors,0,12,0,0,819,1162,-343,12
